Reporting_Year/Année,PROVINCE,Population
2009,NU,129881
2010,NU,133005
2011,NU,136181
2012,NU,138470
2013,NU,140816
2014,NU,143450
2015,NU,145583
2016,NU,147547
2017,NU,150162
2018,NU,152615
2019,NU,155070
2020,NU,157207
2021,NU,159944
2022,NU,161679
